// location: backend/scripts/gen_product.txt


|Gen_Id|Gen_Name|Updated_Date|Updated_Time|Updated_User|
|------|--------|------------|------------|------------|
|G001  |AS2     |2021-12-04  |13:48:19    |201948      |
|G002  |AX2-B   |2021-12-04  |13:48:19    |201948      |
|G003  |AX2     |2021-12-04  |13:48:19    |201948      |
|G004  |AZ      |2021-12-04  |13:48:19    |201948      |
|G005  |AS2-B   |2021-12-04  |13:48:19    |201948      |
|G006  |AJ4     |2021-12-04  |13:48:19    |201948      |
|G007  |AS4     |2021-12-04  |13:48:19    |201948      |
|G008  |AK2     |2021-12-04  |13:48:19    |201948      |
|G009  |AS2-D   |2021-12-04  |13:48:19    |201948      |
|G010  |BS3-B   |2021-12-04  |13:48:19    |201948      |
|G011  |BN      |2021-12-04  |13:48:19    |201948      |
|G012  |BS      |2021-12-04  |13:48:19    |201948      |
|G013  |BS-B    |2021-12-04  |13:48:19    |201948      |
|G014  |BZ      |2021-12-04  |13:48:19    |201948      |
|G015  |BZ3     |2021-12-04  |13:48:19    |201948      |
|G016  |BZ3-B   |2021-12-04  |13:48:19    |201948      |
|G017  |BS3     |2021-12-04  |13:48:19    |201948      |
|G018  |BZ8     |2021-12-04  |13:48:19    |201948      |
|G019  |BK8     |2021-12-04  |13:48:19    |201948      |
|G020  |AZ-D    |2021-12-04  |13:48:19    |201948      |
|G021  |AX9-B   |2023-05-03  |15:43:33    |201946      |
|G022  |AZ1     |2023-06-06  |17:01:25    |201946      |
|G023  |BS4-B   |2023-08-18  |09:36:11    |201946      |
|G024  |BZ4-B   |2023-08-18  |09:36:20    |201946      |
|G025  |BS3-C   |2023-09-28  |16:06:34    |201946      |
|G026  |BS3-D   |2023-12-11  |09:04:12    |201946      |
|G027  |BZ3-C   |2024-01-22  |07:41:01    |201946      |
|G028  |BZ5-C   |2024-03-16  |08:05:48    |201946      |
|G029  |BS5-C   |2024-04-26  |14:50:02    |201946      |
|G030  |BS3-B1  |2024-08-16  |13:30:05    |201976      |
|G031  |ZE      |2024-09-11  |13:30:05    |201976      |
|G032  |ZE-1A   |2024-09-11  |13:30:05    |201976      |
|G033  |AX8-B   |2024-10-23  |08:48:57    |201976      |
|G034  |AX8-C   |2024-10-23  |08:49:18    |201976      |
|G035  |BS6-C   |2026-01-22  |08:36:12    |201976      |
|G036  |BZ6-C   |2026-01-22  |08:36:22    |201976      |
